"timestamp","bid_price","bid_size","ask_price","ask_size"
8809662819,198225,83,198250,253
8809882537,198225,156,198250,253
8809882586,198225,156,198250,229
8810538993,198225,77,198250,229
8810539004,198225,77,198250,228
8810978362,198200,281,198250,228
8810978387,198200,276,198250,228
8810978407,198200,276,198225,46
8811200287,198225,16,198250,237
8811200352,198225,16,198250,295
8811421767,198200,263,198250,295
8811421803,198200,276,198250,295
8811421832,198200,276,198225,7
8811637469,198225,49,198250,261
8811637479,198225,49,198250,232
8812298473,198200,269,198250,232
8812298510,198200,311,198250,232
8812298533,198200,311,198225,91
8812968387,198225,7,198250,265
8812968456,198225,7,198250,272
8813177902,198225,111,198250,272
8813177953,198225,111,198250,219
8814141853,198225,77,198250,219
8814141903,198225,77,198250,179
8814358390,198200,338,198250,179
8814358414,198200,337,198250,179
8814358433,198200,337,198225,19
8814804760,198225,3,198250,199
8814804846,198225,3,198250,240
8815239054,198200,337,198250,240
8815239082,198200,337,198225,5
8815459323,198225,46,198250,224
8815459376,198225,46,198250,215
8816119352,198200,337,198250,215
8816119384,198200,337,198225,15
8816998383,198225,4,198250,215
8816998395,198225,4,198250,245
8817010262,198200,322,198250,245
8817010265,198200,329,198250,245
8817010277,198200,329,198225,34
8818098714,198200,305,198225,34
8818098728,198200,305,198225,98
8818728020,198200,202,198225,98
8818728052,198200,202,198225,133
8819630606,198200,174,198225,133
8819630616,198200,174,198225,167
8820064214,198200,254,198225,167
8820064221,198200,254,198225,129
8820504253,198225,8,198250,240
8820504269,198225,8,198250,180
8820523411,198200,296,198250,180
8820523412,198200,297,198250,180
8820523416,198200,297,198225,3
8820722730,198200,272,198225,3
8820722737,198200,272,198225,53
8821612443,198200,260,198225,53
8821612459,198200,260,198225,64
8822704432,198200,221,198225,64
8822704435,198200,221,198225,118
8823634761,198200,184,198225,118
8823634780,198200,184,198225,144
8823641646,198175,293,198225,144
8823641653,198175,292,198225,144
8823641658,198175,292,198200,65
8824300094,198200,13,198225,174
8824300110,198200,13,198225,203
8824512845,198200,49,198225,203
8824512891,198200,49,198225,169
8824522236,198200,150,198225,169
8824522267,198200,150,198225,64
8825615975,198200,179,198225,64
8825615989,198200,179,198225,86
8825841024,198200,144,198225,86
8825841055,198200,144,198225,132
8825845197,198200,41,198225,132
8825845209,198200,41,198225,170
8826936364,198200,76,198225,170
8826936382,198200,76,198225,154
8827372603,198200,132,198225,154
8827372672,198200,132,198225,138
8828032891,198225,47,198250,270
8828032956,198225,47,198250,248
8828058336,198200,195,198250,248
8828058346,198200,234,198250,248
8828058358,198200,234,198225,61
8828253381,198200,221,198225,61
8828253413,198200,221,198225,11
8828476159,198225,14,198250,227
8828476198,198225,14,198250,215
8828689864,198200,228,198250,215
8828689889,198200,231,198250,215
8828689907,198200,231,198225,4
8828699899,198200,230,198225,4
8828699909,198200,230,198225,52
8829787554,198200,225,198225,52
8829787585,198200,225,198225,66
8830632235,198200,209,198225,66
8830632260,198200,209,198225,71
8830855168,198200,211,198225,71
8830855177,198200,211,198225,24
8831757108,198200,220,198225,24
8831757121,198200,220,198225,69
8832411079,198175,312,198225,69
8832411092,198175,286,198225,69
8832411098,198175,286,198200,2
8832855397,198200,1,198225,164
8832855400,198200,1,198225,180
8832866160,198200,63,198225,180
8832866163,198200,63,198225,132
8833788298,198200,57,198225,132
8833788333,198200,57,198225,136
8834224594,198200,130,198225,136
8834224626,198200,130,198225,84
8834235574,198225,16,198250,266
8834235605,198225,16,198250,243
8834458860,198225,56,198250,243
8834458867,198225,56,198250,205
8835547445,198225,65,198250,205
8835547448,198225,65,198250,192
8835981524,198225,16,198250,192
8835981572,198225,16,198250,196
8836861734,198225,57,198250,196
8836861751,198225,57,198250,194
8837772931,198225,73,198250,194
8837772963,198225,73,198250,182
8838876318,198225,116,198250,182
8838876366,198225,116,198250,160
8839099980,198225,116,198275,324
8839100008,198225,116,198275,247
8839100022,198225,251,198275,247
8839313326,198225,253,198275,247
8839313365,198225,253,198275,260
8839331567,198250,5,198275,260
8839331584,198250,5,198275,262
8839531723,198250,130,198275,262
8839531755,198250,130,198275,190
8839750308,198225,254,198275,190
8839750321,198225,261,198275,190
8839750337,198225,261,198275,234
8839980073,198225,263,198275,234
8839980086,198225,263,198275,236
8839984941,198225,263,198250,15
8839984957,198225,259,198250,15
8840198756,198225,247,198250,15
8840198771,198225,247,198250,68
8841292676,198225,249,198250,68
